HHID,plotID,org_fert,chem_fert,pesticides,hhlabor,hired_labor,cropID,area_planted,seed_cost,trans_cost,total_value_p_sell,total2_value_p_sell,sell_value_p_sell,gift_value_p_sell,cons_value_p_sell,food_prod_value_p_sell,animal_value_p_sell,seeds_value_p_sell,stored_value_p_sell,farm_capital,season,k,m,l,A,y,y_over_A,lnk,lnm,lnl,lnA,lny,lny_over_A,inflation,ctotal,region
2103000406,10.0,,,,16.0,0.0,CASSAVA,1.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,133000.0,1,69.51127062306014,0.0,16.0,1.0,0.0,0.0,4.244727156537187,,2.772588722239781,0.04879016487901111,,,0.7396366991402477,2115.7558326035496,2.0
2103000406,5.0,,,,30.0,22.0,GROUNDNUTS,0.5,3.1358467950252695,0.0,78000.0,40.7660083353285,0.0,13.5886694451095,13.5886694451095,0.0,0.0,0.0,13.5886694451095,133000.0,1,69.51127062306014,3.1358467950252695,52.0,0.5,40.7660083353285,156000.0,4.244727156537187,1.1428992476676378,3.9512437185814275,-0.5978369994009695,3.7078486051291746,11.957611286231675,0.7396366991402477,2115.7558326035496,2.0
2103000406,3.0,,31.358467950252695,31.358467950252695,58.0,66.0,OTHER,2.0,41.81129060033693,0.0,9900.0,5.174147211791695,4.311789343159745,0.5174147211791694,0.34494314745277965,0.0,0.0,0.0,0.0,133000.0,1,,,,,,4950.0,,,,,,8.507142855562735,0.7396366991402477,2115.7558326035496,2.0
2103000406,6.0,,,,20.0,0.0,MAIZE,1.0,,0.0,25000.0,13.06602831260529,0.0,0.0,13.06602831260529,0.0,0.0,0.0,0.0,133000.0,1,69.51127062306014,0.0,20.0,1.0,13.06602831260529,25000.0,4.244727156537187,,2.995732273553991,0.04879016487901111,2.570015603307784,10.126631103850338,0.7396366991402477,2115.7558326035496,2.0
2103000406,8.0,,,,50.0,10.0,SWEET POTATOES,0.5,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,133000.0,1,69.51127062306014,0.0,60.0,0.5,0.0,0.0,4.244727156537187,,4.0943445622221,-0.5978369994009695,,,0.7396366991402477,2115.7558326035496,2.0
2103000406,7.0,,,,48.0,0.0,CASSAVA,1.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,133000.0,1,69.51127062306014,0.0,48.0,1.0,0.0,0.0,4.244727156537187,,3.871201010907891,0.04879016487901111,,,0.7396366991402477,2115.7558326035496,2.0
2103000406,2.0,,,,15.0,0.0,BANANA FOOD,0.5,,0.0,90000.0,47.03770192537904,0.0,0.0,47.03770192537904,0.0,0.0,0.0,0.0,133000.0,1,69.51127062306014,0.0,15.0,0.5,47.03770192537904,180000.0,4.244727156537187,,2.70805020110221,-0.5978369994009695,3.850949448769848,12.100712129872347,0.7396366991402477,2115.7558326035496,2.0
2103000406,1.0,,,,28.0,0.0,CASSAVA,1.5,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,133000.0,1,69.51127062306014,0.0,28.0,1.5,0.0,0.0,4.244727156537187,,3.332204510175204,0.43825493141183786,,,0.7396366991402477,2115.7558326035496,2.0
2103000406,4.0,,,,42.0,4.0,FINGER MILLET,2.0,,0.0,540000.0,344.94314745277967,62.71693590050539,0.0,62.71693590050539,0.0,0.0,15.679233975126348,203.83004167664254,133000.0,1,69.51127062306014,0.0,46.0,2.0,344.94314745277967,330000.0,4.244727156537187,,3.828641396489095,0.7178397935137598,5.843379613460054,12.706847933442663,0.7396366991402477,2115.7558326035496,2.0
2103000407,4.0,,,,40.0,0.0,CASSAVA,0.25,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,91000.0,1,47.56034305788326,0.0,40.0,0.25,0.0,0.0,3.8667285822374833,,3.6888794541139363,-1.2039728018424092,,,0.7396366991402477,1054.2716924874958,2.0
